x_m,n_CH4_modeC_1m3,resolution_CH4_modeC,n_H2_modeC_1m3,resolution_H2_modeC,n_He3_modeC_1m3,resolution_He3_modeC,n_He4_modeC_1m3,resolution_He4_modeC
2.083333333e-03,0.000000000e+00,BELOW_RESOLUTION,5.203085544e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
6.250000000e-03,0.000000000e+00,BELOW_RESOLUTION,5.201064069e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.041666667e-02,0.000000000e+00,BELOW_RESOLUTION,5.197013480e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.458333333e-02,0.000000000e+00,BELOW_RESOLUTION,5.190926897e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.875000000e-02,0.000000000e+00,BELOW_RESOLUTION,5.182798202e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.291666667e-02,0.000000000e+00,BELOW_RESOLUTION,5.172622043e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.708333333e-02,0.000000000e+00,BELOW_RESOLUTION,5.160393844e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.125000000e-02,0.000000000e+00,BELOW_RESOLUTION,5.146109804e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.541666667e-02,0.000000000e+00,BELOW_RESOLUTION,5.129766908e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.958333333e-02,0.000000000e+00,BELOW_RESOLUTION,5.111362926e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
4.375000000e-02,0.000000000e+00,BELOW_RESOLUTION,5.090896421e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
4.791666667e-02,0.000000000e+00,BELOW_RESOLUTION,5.068366750e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
5.208333333e-02,0.000000000e+00,BELOW_RESOLUTION,5.043774071e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
5.625000000e-02,0.000000000e+00,BELOW_RESOLUTION,5.017119341e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
6.041666667e-02,0.000000000e+00,BELOW_RESOLUTION,4.988404324e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
6.458333333e-02,0.000000000e+00,BELOW_RESOLUTION,4.957631593e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
6.875000000e-02,0.000000000e+00,BELOW_RESOLUTION,4.924804529e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
7.291666667e-02,0.000000000e+00,BELOW_RESOLUTION,4.889927326e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
7.708333333e-02,0.000000000e+00,BELOW_RESOLUTION,4.853004993e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
8.125000000e-02,0.000000000e+00,BELOW_RESOLUTION,4.814043352e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
8.541666667e-02,0.000000000e+00,BELOW_RESOLUTION,4.773049044e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
8.958333333e-02,0.000000000e+00,BELOW_RESOLUTION,4.730029526e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
9.375000000e-02,0.000000000e+00,BELOW_RESOLUTION,4.684993074e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
9.791666667e-02,0.000000000e+00,BELOW_RESOLUTION,4.637948781e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.020833333e-01,0.000000000e+00,BELOW_RESOLUTION,4.588906559e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.062500000e-01,0.000000000e+00,BELOW_RESOLUTION,4.537877135e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.104166667e-01,0.000000000e+00,BELOW_RESOLUTION,4.484872057e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.145833333e-01,0.000000000e+00,BELOW_RESOLUTION,4.429903686e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.187500000e-01,0.000000000e+00,BELOW_RESOLUTION,4.372985196e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.229166667e-01,0.000000000e+00,BELOW_RESOLUTION,4.314130576e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.270833333e-01,0.000000000e+00,BELOW_RESOLUTION,4.253354626e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.312500000e-01,0.000000000e+00,BELOW_RESOLUTION,4.190672951e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.354166667e-01,0.000000000e+00,BELOW_RESOLUTION,4.126101964e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.395833333e-01,0.000000000e+00,BELOW_RESOLUTION,4.059658880e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.437500000e-01,0.000000000e+00,BELOW_RESOLUTION,3.991361712e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.479166667e-01,0.000000000e+00,BELOW_RESOLUTION,3.921229270e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.520833333e-01,0.000000000e+00,BELOW_RESOLUTION,3.849281153e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.562500000e-01,0.000000000e+00,BELOW_RESOLUTION,3.775537750e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.604166667e-01,0.000000000e+00,BELOW_RESOLUTION,3.700020231e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.645833333e-01,0.000000000e+00,BELOW_RESOLUTION,3.622750543e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.687500000e-01,0.000000000e+00,BELOW_RESOLUTION,3.543751405e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.729166667e-01,0.000000000e+00,BELOW_RESOLUTION,3.463046305e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.770833333e-01,0.000000000e+00,BELOW_RESOLUTION,3.380659489e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.812500000e-01,0.000000000e+00,BELOW_RESOLUTION,3.296615958e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.854166667e-01,0.000000000e+00,BELOW_RESOLUTION,3.210941462e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.895833333e-01,0.000000000e+00,BELOW_RESOLUTION,3.123662490e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.937500000e-01,0.000000000e+00,BELOW_RESOLUTION,3.034806267e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
1.979166667e-01,0.000000000e+00,BELOW_RESOLUTION,2.944400743e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.020833333e-01,0.000000000e+00,BELOW_RESOLUTION,2.852474586e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.062500000e-01,0.000000000e+00,BELOW_RESOLUTION,2.759057174e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.104166667e-01,0.000000000e+00,BELOW_RESOLUTION,2.664178589e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.145833333e-01,0.000000000e+00,BELOW_RESOLUTION,2.567869604e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.187500000e-01,0.000000000e+00,BELOW_RESOLUTION,2.470161676e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.229166667e-01,0.000000000e+00,BELOW_RESOLUTION,2.371086937e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.270833333e-01,0.000000000e+00,BELOW_RESOLUTION,2.270678185e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.312500000e-01,0.000000000e+00,BELOW_RESOLUTION,2.168968870e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.354166667e-01,0.000000000e+00,BELOW_RESOLUTION,2.065993091e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.395833333e-01,0.000000000e+00,BELOW_RESOLUTION,1.961785576e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.437500000e-01,0.000000000e+00,BELOW_RESOLUTION,1.856381682e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.479166667e-01,0.000000000e+00,BELOW_RESOLUTION,1.749817372e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.520833333e-01,0.000000000e+00,BELOW_RESOLUTION,1.642129215e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.562500000e-01,0.000000000e+00,BELOW_RESOLUTION,1.533354365e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.604166667e-01,0.000000000e+00,BELOW_RESOLUTION,1.423530556e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.645833333e-01,0.000000000e+00,BELOW_RESOLUTION,1.312696086e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.687500000e-01,0.000000000e+00,BELOW_RESOLUTION,1.200889803e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.729166667e-01,0.000000000e+00,BELOW_RESOLUTION,1.088151097e+11,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.770833333e-01,0.000000000e+00,BELOW_RESOLUTION,9.745198836e+10,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.812500000e-01,0.000000000e+00,BELOW_RESOLUTION,8.600365917e+10,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.854166667e-01,0.000000000e+00,BELOW_RESOLUTION,7.447421490e+10,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.895833333e-01,0.000000000e+00,BELOW_RESOLUTION,6.286779695e+10,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.937500000e-01,0.000000000e+00,BELOW_RESOLUTION,5.118859386e+10,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
2.979166667e-01,0.000000000e+00,BELOW_RESOLUTION,3.944083990e+10,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.020833333e-01,0.000000000e+00,BELOW_RESOLUTION,2.762881361e+10,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.062500000e-01,0.000000000e+00,BELOW_RESOLUTION,1.935433812e+10,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.104166667e-01,0.000000000e+00,BELOW_RESOLUTION,1.355796230e+10,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.145833333e-01,0.000000000e+00,BELOW_RESOLUTION,9.497527129e+09,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.187500000e-01,0.000000000e+00,BELOW_RESOLUTION,6.653140724e+09,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.229166667e-01,0.000000000e+00,BELOW_RESOLUTION,4.660612231e+09,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.270833333e-01,0.000000000e+00,BELOW_RESOLUTION,3.264821371e+09,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.312500000e-01,0.000000000e+00,BELOW_RESOLUTION,2.287053233e+09,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.354166667e-01,0.000000000e+00,BELOW_RESOLUTION,1.602115897e+09,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.395833333e-01,0.000000000e+00,BELOW_RESOLUTION,1.122311050e+09,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.437500000e-01,0.000000000e+00,BELOW_RESOLUTION,7.862052329e+08,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.479166667e-01,0.000000000e+00,BELOW_RESOLUTION,5.507639959e+08,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.520833333e-01,0.000000000e+00,BELOW_RESOLUTION,3.858418357e+08,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.562500000e-01,0.000000000e+00,BELOW_RESOLUTION,2.703224170e+08,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.604166667e-01,0.000000000e+00,BELOW_RESOLUTION,1.894148744e+08,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.645833333e-01,0.000000000e+00,BELOW_RESOLUTION,1.327600217e+08,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.687500000e-01,0.000000000e+00,BELOW_RESOLUTION,9.310398911e+07,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.729166667e-01,0.000000000e+00,BELOW_RESOLUTION,6.536946599e+07,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
3.770833333e-01,0.000000000e+00,BELOW_RESOLUTION,4.600563457e+07,RESOLVED,0.000000000e+00,EXACT_ZERO,0.000000000e+00,EXACT_ZERO
